geometry,address
POINT (12.0133335 10.5131945),"UTC+01:00 standard time, Nigeria"
POINT (4.0656826 50.5771174),"Octopus-Soignies asbl, 24, Boulevard Franklin Roosevelt, 7060, Boulevard Franklin Roosevelt, Soignies, Hainaut, België / Belgique / Belgien"
POINT (5.737994592222156 50.6124391),"Château de Wégimont, 76, Chaussée de Wégimont, 4630, Chaussée de Wégimont, Soumagne, Liège, België / Belgique / Belgien"
POINT (5.665886999165581 50.44114105),"1, Rue de Bastogne, 4920, Rue de Bastogne, Aywaille, Liège, België / Belgique / Belgien"
POINT (5.583379851103196 50.64334765),"19, Boulevard de la Constitution, 4020, Boulevard de la Constitution, Liège, Liège, België / Belgique / Belgien"
POINT (4.3362419 50.8356748),"Bruxelles-Midi - Brussel-Zuid, Galerie M - M-galerij, 1060, Galerie M - M-galerij, Saint-Gilles - Sint-Gillis, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.3569867 50.8454639),"Bruxelles-Central - Brussel-Centraal, Carrefour de l'Europe - Europakruispunt, 1000, Carrefour de l'Europe - Europakruispunt, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.442448069989586 50.88091925),"Exxonmobil, 2, Hermeslaan, 1831, Hermeslaan, Diegem, Vlaams-Brabant, België / Belgique / Belgien"
POINT (4.237607506668177 50.735932399999996),"Oud Stadhuis, 1, Grote Markt, 1500, Grote Markt, Halle, Vlaams-Brabant, België / Belgique / Belgien"
POINT (5.5764851 50.6462684),"Rue des Mineurs, 4000, Liège, Liège, België / Belgique / Belgien"
POINT (5.444553503381655 50.6520879),"30, Rue de Velroux, 4460, Rue de Velroux, Grâce-Hollogne, Liège, België / Belgique / Belgien"
POINT (5.392018451789275 50.7080719),"École La Buissonnière, 15, Rue Jean Stassart, 4367, Rue Jean Stassart, Crisnée, Liège, België / Belgique / Belgien"
POINT (5.669613000785333 50.664541150000005),"119, Rue de Rabosée, 4020, Rue de Rabosée, Liège, Liège, België / Belgique / Belgien"
POINT (5.854066692108756 50.58320295),"40, Avenue Peltzer, 4800, Avenue Peltzer, Verviers, Liège, België / Belgique / Belgien"
POINT (5.806504146550877 50.486707550000006),"157, Rue Canada, 4910, Rue Canada, Theux, Liège, België / Belgique / Belgien"
POINT (5.530146769042202 50.3979645),"Domaine de Palogne, 1, Rue de la Bouverie, 4190, Rue de la Bouverie, Vieuxville, België / Belgique / Belgien"
POINT (4.281579869269268 51.27084935),"Haven 1998, 1, Oudedijk, 9130, Oudedijk, Kallo, Oost-Vlaanderen, België / Belgique / Belgien"
POINT (4.3309028 50.8629434),"Boulevard Léopold II - Leopold II-laan, 1081, Koekelberg, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
