id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon
13.0,,Boulevard Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut,,Y,,,,
70.0,,Chaussée De Wégimont,76.0,4630.0,Ayeneux,Liège,,,,,50.6124391,5.737994592222156
71.0,,Place Saint - Lambert,,4020.0,Liège,Liège,,,,,50.6449558,5.5745133
72.0,,Rue du Doyard,,4990.0,Lierneux,Liège,,,,,50.2856407,5.7808696
73.0,,Fond Saint Servais,,4000.0,Liège,Liège,,,,,50.6467651,5.5709867
74.0,,Rue des Prémontrès,12.0,4020.0,Liège,Liège,,,,,50.6380469,5.5740461
75.0,,Route de Bastogne,1.0,4920.0,Harzé,Liège,,,,,50.3806158,5.680907587084247
76.0,,Rue du Parc,1.0,4540.0,Jehay,Liège,,,,,50.57723315,5.3230382796615805
77.0,,Boulevard De la Constitution,19.0,4020.0,Liège,Liège,,,,,50.64334765,5.583379851103196
78.0,,Place de la République française ,,4000.0,Liège,Liège,,,,,50.6434974,5.572064739950166
79.0,,Rue Darchis,33.0,4020.0,Liège,Liège,,,,,50.63699855,5.565328490517242
86.0,,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel,,,,,50.8428283,4.3844261
87.0,,Uitbreidingstraat,,2600.0,Berchem,Antwerpen,,,,,51.2033155,4.4367162
95.0,,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,50.998105800000005,4.8781133289798575
96.0,,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel,,,,,50.8830136,4.3331888
97.0,,Sint-Pieterskerstraat,,1090.0,Brussel,Bruxelles-Brussel,,,,,,
98.0,,Wemmelsteenweg,100.0,1090.0,Brussel,Bruxelles-Brussel,,,,,,
100.0,,Rue Pietro Ferrero,5.0,6700.0,ARLON,Luxembourg,,N,,,49.6767669,5.816835779216131
101.0,,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,50.831942299999994,4.328980253636651
102.0,,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,51.23432845000001,4.320172570867044
111.0,,Hermeslaan,2.0,1831.0,MachelenBt),Vlaams-Brabant,,,,,50.88091925,4.442448069989586
