0
"Blvd. Fr. Roosevelt 24 ,7060 ,SOIGNIES , Belgium"
"Ch. De Wégimont 76 ,4630 ,Ayeneux , Belgium"
"Route de Bastogne 1 ,4920 ,Harzé , Belgium"
"Blvd. De la Constitution 19 ,4020 ,Liège , Belgium"
"Sint-Pieterskerstraat ,1090 ,Brussel , Belgium"
"Wemmelsestweg 100 ,1090 ,Brussel , Belgium"
"Hermeslaan 2 ,1831 ,MachelenBt) , Belgium"
"Vanhalstraat 1 ,1500 ,Halle , Belgium"
"Cours des mineurs ,4000 ,Liège , Belgium"
"Rue de Wallonie 30 ,4460 ,Bierset , Belgium"
"Rue J. Stassart 15 ,4367 ,Crisnée , Belgium"
"Route de Dinant 119 ,4020 ,Liège , Belgium"
"Rue av. Peltzer 40 ,4020 ,Liège , Belgium"
"Route du Canada 157 ,4910 ,La Reid , Belgium"
"Rue de la Bouviere 1 ,4190 ,Vieuxville , Belgium"
"Haven 1968 Sint Annalaan  1 ,9130 ,Kallo , Belgium"
"Bld Leopold II 44 ,1080 ,Bruxelles , Belgium"
"Bld. Du jardin Botanique ,1000 ,Bruxelles , Belgium"
"Rue sur les bois 113 ,4870 ,Fraipont , Belgium"
"Ile de Campana ,4030 ,Grivegnée , Belgium"
"Rue Chéravoie 2 ,6840 ,Neufchâteau , Belgium"
"Site de l Eau d Heure 4 ,6440 ,Froidchapelle , Belgium"
"Chée de Wavre 2057 ,1160 ,Bruxelles , Belgium"
"Fabriekstraat ,3980 ,Tessenderlo , Belgium"
"Paderstraat  158 ,8620 ,Nieuwpoort , Belgium"
"Parc Industriel Zone A ,7011 ,Ghlin , Belgium"
"Schurhovenveld  4820 ,3800 ,Sint-Truiden , Belgium"
"Route St - Hubert 1 ,6800 ,Recogne , Belgium"
"Riderveldlaan 5 ,2018 ,Antwerpen , Belgium"
"Cipaalstraat  8 ,2440 ,Geel , Belgium"
"Bergtorfbroeklaan ,1910 ,Kampenhout , Belgium"
"Sarkoheemstraa 2 ,8490 ,Jabbeke , Belgium"
"Oude Dorpweg 58 ,8490 ,Jabbeke , Belgium"
"Squaire Marie-Curie 40 ,1070 ,Bruxelles , Belgium"
"Industriepark Nederwest Oost ,9400 ,Meerbeke , Belgium"
"Broekaai  13 ,1731 ,Zellik , Belgium"
"AVenue Herman Debroux 42 ,1160 ,Bruxelles , Belgium"
"Rue des Pieds d Alouettes 12 ,5100 ,Naninne , Belgium"
"Allée du Bol d Air 13 ,4317 ,Angleur , Belgium"
"Boomsestweg 957 ,2610 ,Wilrijk , Belgium"
"Weg nr. Bre 2 ,3660 ,Opglabbeek , Belgium"
"Bld. Du Souverain 25 ,1170 ,Bruxelles , Belgium"
"Site Philips - Ubicenter 208 ,3000 ,Leuven , Belgium"
"Blvd. Audent ,4000 ,Liège , Belgium"
"Ch. de mariemon 100 ,7140 ,Morlanwelz , Belgium"
"Boechhoutlaan 55 ,1853 ,Strombeek-Bever , Belgium"
"Lieven Bauwensstraa 16 ,8200 ,Brugge , Belgium"
"A. Van Dijckstraat 10 ,2300 ,Turnhout , Belgium"
"Chaussée du Tubize  297 ,1420 ,Braine-l Alleud , Belgium"
"Dorpsstraat 15 ,3910 ,Neerpelt , Belgium"
"Zone Industrielle C  ,7181 ,Feluy , Belgium"
"Rue G. D Orange 168 ,4100 ,Seraing , Belgium"
"Markt Z/N  ,3980 ,Tessenderlo , Belgium"
"p.a. Markt 21 ,9800 ,Deinze , Belgium"
"Reizegersstraat 81 ,3300 ,TIENEN , Belgium"
"Rue du Châtelet 266 ,6030 ,MARCHIENNE-AU-PONT , Belgium"
"Rue du Châtelet  266 ,6030 ,MARCHIENNE-AU-PONT , Belgium"
"Rue Armand Dewolf 2 ,1357 ,Hélécine , Belgium"
"Rue de Bois de Four  ,6440 ,Froidchapelle , Belgium"
"Rue Jean Etienne Lenoir ,1348 ,Louvain-la-Neuve , Belgium"
"Ketenislaan Haven  1500 ,9130 ,Kallo , Belgium"
"Rue du Marquis 5 ,6220 ,Fleurus , Belgium"
"Rue du Marquis ,6220 ,Fleurus , Belgium"
"Industriepark 3 ,3290 ,Diest , Belgium"
"Pr. Kennedypark 2 ,8500 ,Kortrijk , Belgium"
"3è Avenue 25 ,4040 ,Herstal , Belgium"
"Rue du Clémarais ,6790 ,Aubange , Belgium"
"Rue J. Dechamps  9 ,1300 ,Wavre , Belgium"
"Rue J. Dechamps 9 ,1300 ,WAVRE , Belgium"
"ZI Avenue de Spirou  23 ,6220 ,Fleurus , Belgium"
"Port de herstal Pré Wigi  20 ,4040 ,Herstal , Belgium"
"Avenue Adile  1 ,1310 ,La hulpe , Belgium"
"Hoogbul  1 ,2250 ,Olen , Belgium"
"Av. Ch. Thielemans  93 ,1150 ,Bruxelles , Belgium"
"Rue du Châtelet 206 ,6030 ,MARCHIENNE-AU-PONT , Belgium"
"Ch. De Charleroi 38 ,1060 ,Bruxelles , Belgium"
"Maaseikersteenweg 55 ,3620 ,Gellik , Belgium"
"Rue du Boignées 13 ,1440 ,Wauthier-Braine , Belgium"
"Rue Station de Redu ,6890 ,REDU , Belgium"
"Rue Station de Redu ,6890 ,REDU , Belgium"
"Krijgsbaan ,2600 ,Berchem , Belgium"
"A. Laporte 34 ,4900 ,Spa , Belgium"
"Rue du Parc Industriel 31 ,7822 ,Meslin-l Evêque , Belgium"
"Rue Henri Jaspaar ,1060 ,Bruxelles , Belgium"
"Rue de Châtelet  62 ,1495 ,Villers-la-Ville , Belgium"
"Boulevard E. Jacqmain 1 ,1000 ,Bruxelles , Belgium"
"E. Solvay 376 ,4000 ,Liège , Belgium"
"Luchthavenlei ,2600 ,Berchem , Belgium"
"Sint Bernardusplain  2 ,8620 ,Nieuwpoort , Belgium"
"Brasschaatse Baan 30 ,2970 ,SCHILDE , Belgium"
"Pater Nuyenlaan  70 ,2970 ,SCHILDE , Belgium"
"De Kaak Wijnegem Steenweg ,2970 ,SCHILDE , Belgium"
"Schuurhovenveld  4220 ,3800 ,Sint-Truiden , Belgium"
"C. Van Kerkhovenstraat  110 ,2880 ,Bornem , Belgium"
"Rue de Canal  2 ,4600 ,Lixhe , Belgium"
"Rue Moucousin  26 ,4520 ,Wanze , Belgium"
"Rue de Châtelet  62 ,1495 ,Villers-la-Ville , Belgium"
"Place de la Gare ,4630 ,SOUMAGNE , Belgium"
"Rue Pierre Currie  36 ,4630 ,SOUMAGNE , Belgium"
"Laura Fredericklaan 15 ,8600 ,Diksmuide , Belgium"
"Chaussée de Romaine 60 ,6600 ,BASTOGNE , Belgium"
"Rue Fond des Bas Près  1 ,5000 ,Namur , Belgium"
"Place de la Bienfaisance /cité Rey 100 ,7090 ,Braine-le-Comte , Belgium"
"Rue de Crampon  14 ,7500 ,Tournai , Belgium"
"Avenue des Fossées  ,4500 ,Huy , Belgium"
"Galerie des 2 Places - Place Verte  2 ,4800 ,Verviers , Belgium"
"Rue de la Tofette  16 ,5650 ,Walcourt , Belgium"
"Bld de Waterloo  ,1000 ,Bruxelles , Belgium"
"Bld. De la Woluwe ,1200 ,Bruxelles , Belgium"
"Rue du Cyclotron  1348 ,1348 ,Louvain-la-Neuve , Belgium"
"Begijnstraat  42 ,1000 ,Brussel , Belgium"
"Leuvenseweg  474 ,2812 ,Muizen , Belgium"
"Rue des Georgin  2 ,1030 ,Bruxelles , Belgium"
"Place à Joséphine Charlotte ,5100 ,Jambes , Belgium"
"Place de la Gare 1 ,6724 ,Houdemont , Belgium"
"Jules Bourboux ,5170 ,Bois-de-Villers , Belgium"
"Rue des Trois Bourdons  27 ,4950 ,WAIMES , Belgium"
"Rue des Trois Bourdons 27 ,4950 ,WAIMES , Belgium"
"Mitoyenne  879 ,4950 ,WAIMES , Belgium"
"Vautierstraat 29 ,9400 ,Ninove , Belgium"
"Chemin de Struykbeken 2 ,1200 ,Bruxelles , Belgium"
"Koning Albert 1 laan ,8200 ,Sint-Michiels , Belgium"
